                  Reconstructed space fractional uncertainties (diagonal terms / prediction)
# BNB  MCBKG   EXT    NUM     MCSIG  err_tot  err_stat  err_mcstat  err_add  err_flux  err_det  err_xs  err_rw  err_rw_cor
0 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
35 3 2.84469 0.211319 -0.195598 11.493 0.341974 0.258197 0.0743755 0 0.0967129 0.130693 0.110465 0.0652873 0.0430135 
36 2 1.55861 0.199049 1.39021 9.26801 0.404425 0.30219 0.0864818 0.00238503 0.105472 0.148001 0.133762 0.0641711 0.0985787 
37 1 0.883309 0.0245397 2.31779 6.20447 0.509805 0.386257 0.117682 0 0.105756 0.190612 0.121279 0.0743167 0.170613 
38 1 0.941559 0.410368 -1.26981 4.41922 0.554864 0.325197 0.141862 0 0.118411 0.294265 0.136464 0.0921448 0.232959 
39 1 0.721564 0 -1.81653 3.05842 0.618792 0.40433 0.166905 0 0.140567 0.299143 0.157508 0.0909361 0.2219 
40 1 0.541672 0 0.781254 3.60727 0.676861 0.467598 0.178726 0 0.15178 0.195056 0.151731 0.118498 0.33076 
41 0 0.348032 0 -0.689 1.4413 0.758482 0.58899 0.270546 0 0.126741 0.270638 0.177886 0.0952242 0.158651 
42 0 0.164354 0 -0.352615 0.901349 1.02317 0.744798 0.409588 0 0.300324 0.344333 0.156539 0.148064 0.263081 
43 1 0.0127502 0 -0.223639 0.50262 1.27501 0.99739 0.534832 0 0.117296 0.456268 0.186023 0.140944 0.261553 
44 0 0.614697 0 -0.231152 0.256652 2.47968 1.39577 0.753529 0 0.142613 1.89205 0.168075 0.0506028 0.0427414 
45 0 0.198619 0 -0.0997265 0.24914 1.82608 1.41665 0.885378 0 0.270689 0.609251 0.303528 0.0555827 0.0638464 
46 0 0.0747065 0 -0.0520759 0.0520759 4.48586 3.09861 2.2166 0 0.286234 2.30582 0.456739 0.022 0.022 
47 0 0.0619563 0 0 0.153983 2.36562 1.80198 1.43495 0 0.26897 0 0.31294 0.207293 0.276959 
48 0 0.123913 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
49 0 0.0255004 0 -0.077774 0.0905242 4.21637 2.35019 1.80567 0 0.12515 2.97779 0.331206 0.0251053 0.0261671 
50 0 0.0747065 0 -0.0127502 0.0127502 9.85931 6.26219 7.2647 0 0.366432 2.15775 0.651129 0.022 0.022 
51 0 0.125707 0.0122699 -0.45161 0.45161 2.33573 1.05221 0.510497 0 0.124247 1.99223 0.320159 0.022 0.022 
52 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
53 10 4.76437 1.30199 1.59157 2.89151 0.826412 0.617282 0.19528 0.00983641 0.0537722 0.504148 0.0726603 0.0263547 0.0256418 
54 62 18.1107 5.57199 3.62608 14.3081 0.35956 0.266424 0.0792195 0.0207188 0.0594579 0.190445 0.100784 0.0332378 0.0230225 
55 67 15.8538 4.49085 2.0522 14.856 0.334681 0.253485 0.0742938 0.00620321 0.0570482 0.162368 0.102795 0.0363975 0.0262571 
56 43 15.7801 2.46902 6.63608 11.8672 0.382811 0.300951 0.0765625 0.00438653 0.0702747 0.169726 0.11277 0.0371003 0.0474604 
57 18 12.0377 0.768925 -3.58056 9.56451 0.424475 0.267264 0.0880446 0.00481647 0.0666592 0.263174 0.137861 0.0389698 0.0821303 
58 14 8.61578 0.594416 -0.436062 6.49622 0.4876 0.374131 0.100867 0.0038962 0.096899 0.229035 0.151931 0.0261676 0.0444557 
59 10 6.53827 0.272668 -1.59086 4.4782 0.529638 0.397532 0.131692 0.00591584 0.0895805 0.274465 0.143645 0.0276937 0.0187192 
60 5 4.06271 0.0245397 1.8619 2.75815 0.81599 0.635936 0.184799 0.0160285 0.115694 0.418906 0.172357 0.0538531 0.0744579 
61 3 2.84469 0.211319 -0.602919 2.21317 0.723241 0.567216 0.180095 0 0.0899261 0.350652 0.183124 0.0462697 0.046806 
62 2 1.55861 0.199049 -1.52436 1.7528 0.788257 0.534096 0.224318 0 0.120688 0.47995 0.187863 0.036194 0.0652029 
63 1 0.883309 0.0245397 0.27598 0.915485 1.35664 1.06018 0.340815 0 0.13817 0.718803 0.221909 0.0772334 0.0967442 
64 1 0.941559 0.410368 1.62313 0.582392 1.74211 1.49941 0.533012 0 0.0959542 0.597569 0.272442 0.126981 0.214384 
65 1 0.721564 0 0.599681 0.456203 2.51413 1.63625 0.561354 0 0.151405 1.80788 0.189492 0.0269646 0.0208619 
66 1 0.541672 0 -0.325719 0.543287 1.48363 0.959335 0.514731 0 0.169661 0.864674 0.479044 0.0552975 0.083023 
67 0 0.348032 0 -0.174433 0.236389 2.44065 1.45436 0.905077 0 0.100114 1.7073 0.308975 0.030685 0.0336165 
68 0 0.164354 0 -0.149413 0.162163 2.55348 1.75594 1.13333 0 0.208048 1.40809 0.354169 0.0230127 0.0233783 
69 1 0.0127502 0 -0.190075 0.190075 6.82903 1.62189 0.979551 0 0.0847694 6.5534 0.300585 0.022 0.022 
70 0 0.614697 0 -0.0869763 0.0869763 3.54776 2.39764 1.8721 0 0.304836 1.73725 0.470586 0.0188964 0.0188964 
71 0 0.198619 0 -0.136663 0.136663 3.74509 1.91276 1.3129 0 0.131085 2.91323 0.371871 0.022 0.022 
72 0 0.0747065 0 -0.148452 0.148452 3.10719 1.83523 1.2085 0 0.182236 2.17166 0.275813 0.0183633 0.0183633 
73 0 0.0619563 0 -0.123913 0.123913 4.7614 2.00876 1.42153 0 0.125772 4.05714 0.371371 0.022 0.022 
74 0 0.123913 0 -0.0122699 0.0122699 9.826 6.3836 7.46994 0 0 0 0 0 0 
75 0 0.0255004 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
76 0 0.0747065 0 -0.0127502 0.0127502 9.5945 6.26219 7.2647 0 0.213636 0 0.13023 0.022 0.022 
77 0 0.125707 0.0122699 -0.231406 0.231406 2.36738 1.46993 0.857656 0 0.240625 1.61646 0.190811 0.022 0.022 
78 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
79 10 4.76437 1.30199 -0.0619563 0.0619563 4.72801 2.84081 2.54708 0 0.129942 2.71826 0.624061 0.022 0.022 
80 62 18.1107 5.57199 -0.839072 3.7231 0.56988 0.456802 0.194172 0.00132297 0.0536378 0.232342 0.133408 0.0569461 0.0221484 
81 67 15.8538 4.49085 3.35766 5.2128 0.581404 0.457908 0.116679 0.00492139 0.0622518 0.21404 0.125131 0.130976 0.179476 
82 43 15.7801 2.46902 6.15483 8.22943 0.472892 0.368417 0.0858639 0.00583392 0.0640456 0.213185 0.124649 0.0580029 0.109715 
83 18 12.0377 0.768925 4.03038 6.72477 0.505641 0.402974 0.10162 0.00667053 0.0716228 0.205778 0.122301 0.0629742 0.128515 
84 14 8.61578 0.594416 0.713876 6.75053 0.494407 0.377103 0.0931439 0 0.0752272 0.224165 0.152855 0.0484141 0.109261 
85 10 6.53827 0.272668 2.0261 5.7099 0.557501 0.421904 0.115501 0 0.0886129 0.275641 0.133151 0.0556162 0.121701 
86 5 4.06271 0.0245397 1.09226 4.92206 0.597856 0.451916 0.129351 0 0.072458 0.31909 0.157195 0.0457622 0.0509815 
87 3 2.84469 0.211319 -2.66043 3.43292 0.567317 0.381639 0.144727 0 0.100597 0.352158 0.132086 0.0519108 0.0312716 
88 2 1.55861 0.199049 0.0790806 2.65581 0.75519 0.582609 0.179592 0.0083231 0.120555 0.381721 0.1782 0.0541062 0.0602395 
89 1 0.883309 0.0245397 0.476606 1.65536 1.35356 0.800571 0.210799 0 0.120845 1.04072 0.20741 0.0439384 0.0641987 
90 1 0.941559 0.410368 -1.35839 1.89855 0.88083 0.513185 0.228001 0 0.125333 0.626835 0.137675 0.0886724 0.158336 
91 1 0.721564 0 -0.960811 1.0311 1.17286 0.696362 0.272351 0.0214379 0.0735745 0.878189 0.194705 0.0287532 0.0260912 
92 1 0.541672 0 -0.56989 0.843329 1.47049 0.769992 0.394356 0 0.122934 1.14054 0.264759 0.0862958 0.142975 
93 0 0.348032 0 -0.497817 0.497817 1.71857 1.00219 0.58679 0 0.135147 1.20727 0.288466 0.150472 0.15224 
94 0 0.164354 0 -0.276379 0.434165 1.61405 1.07314 0.634525 0 0.279846 0.89199 0.279533 0.207536 0.236052 
95 1 0.0127502 0 0.514875 0.666494 1.5918 1.29925 0.451401 0 0.0991774 0.725544 0.208213 0.163265 0.189115 
96 0 0.614697 0 -0.311526 0.311526 1.60026 1.26689 0.726708 0 0.0531747 0.644298 0.0984322 0.00707662 0.00707662 
97 0 0.198619 0 -0.223639 0.223639 2.96399 1.49524 0.88849 0 0.239073 2.37179 0.276843 0.020793 0.020793 
98 0 0.0747065 0 -0.136663 0.149413 3.86448 1.82932 1.22715 0 0.177177 3.12085 0.556494 0.0231882 0.0236152 
99 0 0.0619563 0 -0.112957 0.112957 4.70638 2.10392 1.42268 0 0.252247 3.94264 0.300794 0.022 0.022 
100 0 0.123913 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
101 0 0.0255004 0 -0.247825 0.247825 7.13794 1.42041 0.819496 0 0.196573 6.93168 0.416107 0.022 0.022 
102 0 0.0747065 0 -0.0619563 0.0619563 6.36855 2.84081 2.54708 0 0.819438 4.98232 0.710357 0.022 0.022 
103 0 0.125707 0.0122699 -0.750245 0.812201 1.17618 0.784609 0.328236 0 0.0641213 0.802124 0.109242 0.0169298 0.017395 
