                  Reconstructed space fractional uncertainties (diagonal terms / prediction)
# BNB  MCBKG   EXT    NUM     MCSIG  err_tot  err_stat  err_mcstat  err_add  err_flux  err_det  err_xs  err_rw  err_rw_cor
0 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
37 672 31.7911 6.22144 1154.64 1370.26 0.15524 0.0265076 0.0195227 7.98737e-05 0.0844482 0.105475 0.0596742 0.0243484 0.0246033 
38 473 26.1223 2.11079 764.252 981.697 0.204626 0.0309163 0.0221877 0 0.0975875 0.157668 0.0695034 0.024381 0.0248159 
39 292 20.1376 1.05539 497.006 710.266 0.215726 0.0357586 0.0248652 0.000183743 0.108945 0.162108 0.0719348 0.0245362 0.0267601 
40 198 15.0452 0.730996 325.85 501.116 0.276549 0.0419871 0.0308733 0 0.118344 0.22982 0.0751984 0.0246007 0.0260988 
41 122 13.5559 0.406599 226.592 351.558 0.392056 0.0498852 0.0386031 0 0.128715 0.35355 0.0832929 0.0244372 0.0250807 
42 64 8.90755 0.406599 127.588 224.254 0.321991 0.0615086 0.0437662 0 0.137798 0.269773 0.069477 0.0252474 0.0273712 
43 59 4.72995 0 76.4269 147.111 0.355219 0.0752741 0.0519599 0 0.139211 0.298488 0.0904684 0.0238901 0.0241811 
44 32 2.06323 0 56.0343 122.703 0.423373 0.0795952 0.0694169 0 0.140357 0.37422 0.0848777 0.0239331 0.0239331 
45 17 2.45562 0.406599 29.7583 72.2336 0.504695 0.10251 0.0782661 0 0.1547 0.451005 0.0974236 0.0250669 0.0250159 
46 14 1.7068 0 21.8324 44.5726 0.610478 0.135778 0.10455 0 0.143165 0.543135 0.163401 0.0237239 0.0237239 
47 8 2.87748 2.89085 16.4871 33.5958 1.08316 0.163417 0.120817 0 0.137937 1.00798 0.309193 0.0253344 0.0253193 
48 10 1.98703 0.406599 14.5337 22.7687 1.18157 0.200888 0.113894 0 0.115834 1.1399 0.169861 0.0238948 0.0238948 
49 5 1.46722 0.406599 3.80077 21.7207 1.41348 0.17115 0.199753 0 0.154075 1.35513 0.259923 0.0231207 0.0231207 
50 4 0.586765 0 9.02953 14.0976 0.947777 0.254651 0.142262 0 0.185978 0.87009 0.143038 0.0233671 0.0233671 
51 13 8.01932 2.56646 25.882 65.2318 0.440485 0.115995 0.0768585 0 0.075777 0.398494 0.0952381 0.0229682 0.0229682 
52 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
53 13 2.39703 0 124.034 81.0816 0.440353 0.119072 0.0718246 0.00480795 0.0650069 0.351032 0.214456 0.0235552 0.0235552 
54 955 96.5729 40.9704 1934.68 1666.02 0.186479 0.0255884 0.0165812 0.00488106 0.0580919 0.127398 0.114933 0.0224302 0.0224302 
55 2065 167.335 79.9394 3058.6 2618.5 0.191074 0.020386 0.0131613 0.00488884 0.0593918 0.14923 0.0952536 0.0226513 0.0226532 
56 2468 180.621 84.242 3936.44 3373.73 0.192635 0.0179416 0.0113291 0.00356562 0.0639135 0.162528 0.0715617 0.0226217 0.02263 
57 2468 162.389 76.6264 3811.93 3523.83 0.174632 0.0174035 0.0112241 0.00345137 0.068237 0.144216 0.0600651 0.0222844 0.0222891 
58 2209 147.229 55.1346 3311.84 3219.13 0.188554 0.0180949 0.0114324 0.00361843 0.0722583 0.162289 0.0503333 0.0222241 0.0222457 
59 1974 109.781 37.1379 2818.86 2895.02 0.173941 0.0189636 0.0124247 0.00330467 0.0769261 0.144681 0.0437233 0.0219973 0.0220135 
60 1581 86.331 22.7502 2284.67 2413.51 0.162895 0.0207059 0.0136075 0.00273622 0.0815954 0.126167 0.048772 0.0218952 0.0218923 
61 1254 64.9869 16.1541 1693.23 1828.32 0.165261 0.0236839 0.0147465 0.00233911 0.088611 0.124264 0.0474301 0.0221829 0.0221837 
62 951 58.1865 11.5475 1291.61 1416.9 0.220808 0.0268407 0.0172187 0.00307093 0.0958865 0.188573 0.0443657 0.0224574 0.0224371 
63 672 31.7911 6.22144 862.75 1053.58 0.17665 0.0305942 0.0197733 0.0037811 0.105521 0.118634 0.0600977 0.0228279 0.0228585 
64 473 26.1223 2.11079 586.928 762.631 0.209562 0.0357719 0.0239373 0.0052479 0.106744 0.155532 0.0736263 0.0226989 0.0227056 
65 292 20.1376 1.05539 398.433 550.781 0.257805 0.0418164 0.0287453 0.0041423 0.107767 0.220298 0.051693 0.0229804 0.0229379 
66 198 15.0452 0.730996 281.487 402.139 0.283116 0.0488234 0.0310595 0.00675826 0.113376 0.242894 0.06202 0.0228293 0.0232628 
67 122 13.5559 0.406599 193.229 294.086 0.359716 0.0569184 0.0374672 0.00386481 0.113367 0.327115 0.0620593 0.0225648 0.0228064 
68 64 8.90755 0.406599 157.254 212.966 0.296006 0.0684724 0.0426032 0.00532247 0.11662 0.245617 0.0782668 0.0225675 0.0229121 
69 59 4.72995 0 92.029 156.669 0.415745 0.0772938 0.0468062 0.00900831 0.0964404 0.386922 0.067165 0.0232507 0.0231552 
70 32 2.06323 0 49.4293 121.963 0.404392 0.083764 0.0609968 0.00576954 0.103466 0.361235 0.102385 0.0232934 0.0232706 
71 17 2.45562 0.406599 30.0309 104.146 0.416133 0.0884764 0.0651517 0.0106333 0.119581 0.366964 0.104927 0.0224596 0.0224596 
72 14 1.7068 0 29.8231 74.2396 0.497304 0.109425 0.0615807 0.0116957 0.107252 0.460285 0.0835063 0.0231258 0.0231258 
73 8 2.87748 2.89085 11.5915 60.0981 0.441863 0.115885 0.0715625 0.0106312 0.0982269 0.399102 0.0817543 0.0219635 0.0219635 
74 10 1.98703 0.406599 13.209 48.8947 0.809631 0.133589 0.0903997 0.0111063 0.0970821 0.778785 0.109877 0.0260576 0.0260253 
75 5 1.46722 0.406599 10.0939 35.5297 0.604713 0.1571 0.103121 0.00194304 0.0968681 0.556723 0.100105 0.0225266 0.0225266 
76 4 0.586765 0 5.91328 32.0759 0.915844 0.157257 0.0987514 0.00680584 0.0896269 0.884414 0.11414 0.0222995 0.0222995 
77 13 8.01932 2.56646 -0.908128 140.899 0.375961 0.0766973 0.0444701 0.00359226 0.0762649 0.348995 0.0705061 0.0210753 0.0210753 
78 0 0 0 0 0 inf -nan inf -nan -nan -nan -nan -nan -nan 
79 13 2.39703 0 0 2.00033 0.729445 0.499959 0.479375 0 0.141396 0 0.176429 0.0245967 0.0245967 
80 955 96.5729 40.9704 519.112 555.34 0.171855 0.0424431 0.0290405 0.000274152 0.0638021 0.113572 0.0935268 0.0242154 0.0242154 
81 2065 167.335 79.9394 3165.97 3072.45 0.137639 0.0182789 0.0124491 0.000407565 0.0607048 0.102759 0.0550833 0.0242546 0.0242547 
82 2468 180.621 84.242 5575.2 5535.73 0.117414 0.0135628 0.00982006 0.000339789 0.061102 0.0691573 0.0617719 0.0242236 0.0242247 
83 2468 162.389 76.6264 7011.83 6817.3 0.131102 0.0122532 0.00884896 0.000249335 0.0637805 0.087395 0.063884 0.0242033 0.0242164 
84 2209 147.229 55.1346 7129.34 7135.07 0.115656 0.0119221 0.00873266 0.000182409 0.0678222 0.0579649 0.0634552 0.0241995 0.0242069 
85 1974 109.781 37.1379 6518.32 6714.7 0.12536 0.0122289 0.00896232 0.000237992 0.073861 0.0757246 0.0559164 0.0241679 0.0241842 
86 1581 86.331 22.7502 5412.31 5705.64 0.130007 0.0132312 0.00943827 0.000444007 0.0815742 0.0818185 0.0460945 0.0241237 0.0241301 
87 1254 64.9869 16.1541 4244.74 4662.01 0.141953 0.0145454 0.0103106 0.000205027 0.0902567 0.0916557 0.0461446 0.0240393 0.0240507 
88 951 58.1865 11.5475 3158.46 3685.41 0.155589 0.0162068 0.0116387 0.000320796 0.0988229 0.102691 0.0483706 0.0240693 0.0240689 
89 672 31.7911 6.22144 2303.46 2684.97 0.196403 0.0190016 0.0131489 0.000294501 0.108204 0.150985 0.048715 0.0241117 0.0241088 
90 473 26.1223 2.11079 1540.43 1987.7 0.171368 0.0217749 0.0156183 0.000221108 0.115219 0.108496 0.0495093 0.0239392 0.0240329 
91 292 20.1376 1.05539 1052.61 1429.39 0.209539 0.0254903 0.0181335 0.000273202 0.121259 0.155584 0.0534847 0.0239699 0.0241334 
92 198 15.0452 0.730996 676.128 969.824 0.25387 0.0307751 0.0210447 0.000289755 0.122345 0.209082 0.0568389 0.0238398 0.0240233 
93 122 13.5559 0.406599 407.306 751.214 0.24816 0.0337089 0.0250222 0.000283442 0.123596 0.198019 0.0647784 0.0236939 0.0239929 
94 64 8.90755 0.406599 310.914 528.016 0.266283 0.0408305 0.0290967 0.000781781 0.116703 0.224675 0.0559447 0.023919 0.0243261 
95 59 4.72995 0 202.264 388.356 0.338158 0.0474357 0.0311007 0.000435409 0.113267 0.302302 0.076413 0.023222 0.0232215 
96 32 2.06323 0 115.934 289.593 0.292915 0.0529598 0.0359947 0.00100734 0.10458 0.255239 0.0672282 0.023325 0.0234565 
97 17 2.45562 0.406599 82.803 223.353 0.336605 0.0604198 0.0422524 0.000576538 0.0948049 0.304799 0.0699308 0.0232247 0.0233786 
98 14 1.7068 0 76.6035 175.584 0.343222 0.0698619 0.0499092 0.00104021 0.111215 0.300501 0.0817566 0.0231764 0.0231883 
99 8 2.87748 2.89085 45.8544 139.41 0.435236 0.0768875 0.0530536 0.000922312 0.0823943 0.405531 0.0915497 0.0232104 0.0232104 
100 10 1.98703 0.406599 37.3424 122.478 0.57699 0.0825938 0.05497 0.00601415 0.079404 0.557069 0.07369 0.0221008 0.0221008 
101 5 1.46722 0.406599 12.7353 86.0171 0.528861 0.0944272 0.064166 0 0.0876295 0.480002 0.166023 0.0225359 0.0225359 
102 4 0.586765 0 15.2803 66.1928 0.563799 0.112578 0.0697114 0 0.0754983 0.535352 0.084383 0.0213694 0.0213694 
103 13 8.01932 2.56646 1.11411 335.597 0.339832 0.049072 0.0356994 0.00136583 0.0811561 0.311118 0.0867734 0.0211042 0.0211042 
